variant,to,d_pos,d_neg,OAAS1,OAAS2,OAAS3,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio
NEG_004,NEG,31.996077131198085,31.9444481193999,28.03265158647067,-3.3109199123973494,-11.34903049097358,8.779255106912743,0.2429929056814192,9.123800039291382,0.577887323327095,0.05386643355404179,0.6551954746246338,4.728666946560045,1.3410081862112258,0.8835276992661177
NEG_036,NEG,33.99471229979041,33.9449082334089,30.361292004123072,-3.55965591998982,-10.742737706061494,8.984156303120981,0.216100312990318,9.284965753555298,0.6242979091658017,0.04946864410475033,0.6944780945777893,4.880679920317445,1.286216512701725,0.8709518369605525
NEG_035,NEG,38.05403813231601,38.008097725614135,34.94645488278199,-3.9150945816451146,-9.533564658572814,9.382301961659453,0.150188950840902,9.57873010635376,0.717965572934705,0.03710631487309577,0.7700078785419464,5.122731690734444,1.355801500467007,0.832940483360822
NEG_008,NEG,38.22956008234061,38.183291999788004,35.095667501096536,-3.9873142721943324,-9.628668744922107,9.391633502961561,0.15523854909642631,9.597880601882935,0.7205613691358435,0.03810718184159944,0.7745136767625809,5.066176019408058,1.3367950621333102,0.8488323739093233
NEG_005,NEG,40.980961513876565,40.940235119721194,38.275365922003736,-3.6146246279449255,-8.38394353187653,9.65388406539277,0.067075447526545,9.734714984893799,0.7900478321061709,0.019998330219672386,0.8178521245718002,5.287649909506991,1.4180544857988266,0.6656099541500219
NEG_023,NEG,41.17138945963032,41.130824113075455,38.451996885182425,-3.577512348553034,-8.489586514599056,9.689920653408633,0.06205812307724043,9.765690326690674,0.7940090577287942,0.01944998952314042,0.8222295045852661,5.189152261509268,1.3820438106467996,0.6606511249006303
NEG_010,NEG,41.18400366094776,41.14471422277322,38.54328070990648,-3.3768683624139277,-8.20670491444776,9.719983421268727,0.05135441389612095,9.777063369750977,0.7960680863673348,0.01703863738481031,0.8207722902297974,5.3138073781725765,1.4234537695615626,0.6075943366146217
NEG_024,NEG,41.2298094827606,41.18946460312233,38.5685851025765,-3.6199180330287555,-8.20105586423504,9.680776541655995,0.060294217318574865,9.753233909606934,0.7958746514009319,0.018690001439811848,0.8222374469041824,5.368467597920601,1.4203098746414415,0.654498166685261
NEG_022,NEG,41.24325771326997,41.20306830660693,38.56784376775813,-3.5592171918120155,-8.299131163640624,9.673823142195783,0.059013289180338824,9.746460437774658,0.7965764824474489,0.01829012800674804,0.8219445645809174,5.282796030261479,1.4140389058942056,0.6434943199864259
NEG_017,NEG,41.28438049898336,41.24411809176075,38.62090019939726,-3.602281294984011,-8.227001618328186,9.69515909048488,0.05776383465190151,9.764833927154541,0.7971263333673033,0.018150110555680946,0.8235073387622833,5.339900437927087,1.3677679611641889,0.6489791543521103
