file,domain,domain_canon,OAAS1,OAAS2,OAAS3,d_pos_euclid,d_neg_euclid
W10_02.wav,music,music,-1.116817403868397,-1.4342238267193366,-0.3139037111596099,3.8229831062573685,4.0564747241653025
W10_03.wav,music,music,-0.1694911472400826,-1.900905082404048,-0.2122287161532131,4.238075960130579,4.3261236828608665
W10_04.wav,music,music,-0.442746035370773,-1.0783481122644452,-0.7821415887360239,3.5141271722046845,3.629881810886541
W10_05.wav,music,music,8.985567892323187,-0.8812156163891499,4.095816874619465,10.752137523032427,10.268861924039378
W10_06.wav,music,music,-1.4646175181297023,-2.071304201015194,0.5881270418921913,4.507454193468381,4.785165640864773
W10_07.wav,music,music,-0.4527137649904876,-1.9973330426520173,0.6022435346229734,4.329942012013191,4.476535899564724
W10_08.wav,music,music,-0.2143447074545362,0.2020483861975167,0.1093471158262034,2.1259035064540157,2.232605194656443
Negaive_01.wav,control_negative,challenge_reference,1.5959684207530938,0.9851981053842336,-0.5803589404056136,2.580724632869718,2.1331922220233555
Negative_02.wav,control_negative,challenge_reference,0.1399034583341609,-0.1177725659323337,1.067329516639196,2.670122688999868,2.7199433061542577
Negative_02_part1.wav,control_negative,challenge_reference,-0.6094601672414707,0.4556537332638108,-0.5437084360421973,1.9828900981069169,2.1720954965933807
Negative_02_part2.wav,control_negative,challenge_reference,-1.1199693162031192,0.0046061675004494,-0.3508074236909154,2.4399953955620672,2.7404823254510555
Negative_02_part3.wav,control_negative,challenge_reference,-0.0030316027199865,-0.5184714444546679,-3.056790787262164,4.304960252133811,4.271684937675283
Negative_03.wav,control_negative,challenge_reference,1.877633713339855,-0.5952803237737669,-3.4916068900313624,5.228692238874186,4.960619191520621
AfterNursing__SW__01.wav,vocalization,vocalization,-0.082980563405053,2.855170533451856,0.276666356461388,0.6953625693477375,0.5473872164331105
AfterNursing__SW__02.wav,vocalization,vocalization,-0.0831842857693972,2.841607223418773,0.2734965236174368,0.6840670390108715,0.535090793583401
